scenario,episode,original_mc_run,phase,phase_legacy,type,location,severity,action,recovery_plan,plan_length,plan_actions,applied,rejected_plan,rejected_reward,att_disrupted,att_recovered,improvement_att,CEF_disrupted,CEF_recovered,improvement_CEF,CEF2_disrupted,CEF2_recovered,improvement_CEF2,exposure_disrupted,exposure_recovered,improvement_exposure,dun_disrupted,dun_recovered,improvement_dun,cost_disrupted,cost_recovered,improvement_cost,energy_disrupted,energy_recovered,improvement_energy,reward,changed_routes,short_turn_routes_count,selected_routes_count,critical_routes_count,donor_routes_count,transfer_hubs_count,repaired_routes_count,failed_routes_count,inserted_existing_nodes_count,frequency_increase,frequency_increase_critical,frequency_reduction_donor,old_headway_min,new_headway_min,coverage_floor_percent,coverage_gap_before,coverage_gap_after,coverage_floor_reached,applied_for_coverage,att_delta_min,demand_share,critical_demand_share,donor_demand_share,assumed_affected_transfer_share,additional_vkm,additional_vh,additional_cost,additional_energy
S1_service,1,1,calibration,train,area_closure,peripheral_area,severe,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,16.373636897351364,17.924363923884112,-0.09470877095018497,1.088635189427561,1.6138290293946047,0.4824332752308028,1.0288922836113543,1.3929386615462935,0.35382360596306234,35.77173750070843,29.119574099010077,0.1859614283920823,22.6413279203753,6.836984975669669,0.698030742732322,28218.431231043178,38367.13620633602,-0.3596480928439503,,,,0.6591363072990901,10.0,,,,,,13.0,0.0,17.0,,,,,,5.9348077641848,16.7065201561905,0.9021772114848687,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,2,2,calibration,train,combined_disruption,peripheral_area + central_area,mild,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,18.112286800237847,18.360628691209886,-0.013711238879497977,1.3938107847537822,1.7699768533067255,0.2698831668312807,1.3044613193817545,1.4647243567790573,0.1228576386406452,25.538880339266107,28.019028355104663,-0.09711263700254391,13.078500963407327,7.043067559522103,0.46147745989941186,32857.51137036717,38519.034843327,-0.172305303622773,,,,0.4356247906022842,,,,,,,,,,,,,,,7.043067559522101,6.035433403885226,1.7763568394002505e-15,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,3,3,calibration,train,combined_disruption,central + any_road,moderate,greedy:continuity_repair,greedy:continuity_repair,1,"[""continuity_repair""]",True,,,17.15635332052788,18.64368141476764,-0.08669255444046761,1.1671351300652764,1.7427740478746725,0.4932067444300142,1.0583460094228037,1.5203767444547118,0.43655924519797507,23.500016858700423,29.02173624527328,-0.23496661384430237,27.967400295134862,0.0,1.0,31097.899076889087,37230.86151537149,-0.19721468718252472,,,,0.7876701501797772,8.0,,,,,,13.0,0.0,16.0,,,,,,0.0,27.967400295134862,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,4,4,calibration,train,demand_surge,peripheral_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,18.132145214444503,17.71086507572631,0.023233882904411664,1.7010995063842724,1.7942466942554791,0.054757048321760586,1.4973151227328627,1.5079841537285763,0.007125441287362902,31.412851675565822,31.60475446270087,-0.006109053361886246,0.0,0.0,,34526.19286307535,36161.2818056233,-0.04735792761838591,,,,0.09080167499020182,,,,,,35.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,5,5,calibration,train,area_closure,central_area,moderate,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,15.620980781654351,15.320993652488527,0.01920411614091072,1.0054370752472597,1.125052053565258,0.11896813959101543,0.890012289037155,0.9150405209170104,0.028121220558574245,18.728161202158013,16.652110172432984,0.11085183469511195,41.42262633771367,41.41170085405549,0.00026375642068443154,29802.22123689775,34971.308467460854,-0.173446374666977,,,,0.096926965939599,6.0,,6.0,,,,12.0,1.0,1.0,0.3,,,10.0,7.692307692307692,39.68529414755372,1.7373321901599539,1.7264067065017699,False,False,-0.7287540799339974,0.631586869276131,,,,3165.4091734956846,118.66376016000001,4668.275021676548,3798.4910081948215
S1_service,6,6,calibration,train,area_closure,peripheral_area,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,17.31958180416306,17.982898285683333,-0.038298643063127136,1.2758139394295693,1.716423741507443,0.3453558457551226,1.2404746498803907,1.5105255021990849,0.21769961388951647,33.91305501890686,27.880459618390763,0.17788416281437536,9.369585039230557,2.7934794851137674,0.7018566485690201,29704.653490166995,36079.65340372421,-0.21461283551641172,,,,0.5589304831932326,,,,,,,,,,,,,,,2.793479485113767,6.57610555411679,4.440892098500626e-16,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,7,7,calibration,train,combined_disruption,any_road + central_area,mild,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,14.406762301914595,20.179459717368857,-0.4006935975258713,0.6876753177604366,1.6398564763383818,1.3846376829096168,0.6375714633924021,1.4872844589725482,1.3327337316180643,18.535058164492625,23.94427265220088,-0.29183693084225754,55.528959843140015,0.0,1.0,29826.502043064786,38159.82436646859,-0.2793932158511847,,,,1.1889200738124484,,,,,,,,,,,,,,,0.0,55.528959843140015,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,8,8,calibration,train,combined_disruption,peripheral_area + central_area,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,16.7687539265793,17.962358374954054,-0.07118027097307637,0.9928604632708439,1.5537852113572985,0.5649582885379123,0.9479912879659046,1.434455280614309,0.5131523873939867,35.1939705448444,34.31547201619629,0.024961620273243112,29.557639555615623,0.2798753650030956,0.9905312004202337,30374.175024166645,37562.603001616124,-0.23666249278310078,,,,0.8125587556171195,,,,,,,,,,,,,,,0.0,29.557639555615623,0.2798753650030956,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,9,9,calibration,train,combined_disruption,central + central_area,mild,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,15.033947362848604,18.022820835114004,-0.19880829699134145,1.2827080021359112,1.7492012750641437,0.3636784616229474,1.1056063346052043,1.5203295501204834,0.3751092975271082,30.296599874482382,31.21593461908196,-0.03034448579736159,24.606541331300967,0.0,1.0,33436.961261474324,36925.840456082806,-0.10434199350011893,,,,0.572114177213288,3.0,,,,,,13.0,0.0,5.0,,,,,,0.0,24.606541331300967,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,10,10,calibration,train,demand_surge,peripheral_area,severe,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,18.3614770206727,17.93582631382824,0.023181724779832928,1.7258769797228746,1.823953347324313,0.056826974780778784,1.511017038221976,1.5219574808147749,0.007240449522443835,30.04674045378864,30.25040983144775,-0.006778418376940111,0.0,0.0,,34526.19286307535,36161.2818056233,-0.04735792761838591,,,,0.09539249573079334,,,,,,35.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
