scenario,run,type,location,severity,component_1_type,component_1_location,component_2_type,component_2_location,baseline_att,baseline_att_access,baseline_att_walk_component,baseline_CEF,baseline_CEF2,baseline_exposure,baseline_dun,baseline_gc,baseline_gc_access,baseline_cost,baseline_energy,baseline_vkm,baseline_vh,baseline_num_routes,baseline_num_unique_nodes,baseline_invalid_edges,baseline_gc_P30,baseline_gc_P60,baseline_gc_P90,att,att_access,att_walk_component,CEF,CEF2,exposure,dun,gc,gc_access,cost,energy,vkm,vh,num_routes,num_unique_nodes,invalid_edges,gc_P30,gc_P60,gc_P90,phase,broken_routes,delta_att,pct_delta_att,delta_att_access,pct_delta_att_access,delta_CEF,pct_delta_CEF,delta_CEF2,pct_delta_CEF2,delta_exposure,pct_delta_exposure,delta_dun,pct_delta_dun,delta_gc,pct_delta_gc,delta_gc_access,pct_delta_gc_access,delta_cost,pct_delta_cost,delta_energy,pct_delta_energy,delta_vkm,pct_delta_vkm,delta_vh,pct_delta_vh,delta_num_routes,pct_delta_num_routes,delta_num_unique_nodes,pct_delta_num_unique_nodes
S1_service,1,area_closure,peripheral_area,severe,,,,,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,16.373636897351364,16.64169066317047,0.268053765819105,1.088635189427561,1.0288922836113543,35.77173750070843,22.6413279203753,26.25122482715566,26.458587660852743,28218.431231043178,,17725.19871480397,779.9040144000002,23,73,0,19.458826451043066,26.25122482715566,33.04362320326825,t0_immediate,23,-1.6197957957138236,-0.09002149969628118,-1.3517420298947194,-0.07512418852772276,-0.5974775348930548,-0.3543520704606485,-0.46013516513297326,-0.3090172484872577,3.532586433122262,0.10957442476436635,22.6413279203753,,8.257792134090472,0.4589336717986608,8.465154967787555,0.470458033894227,-6307.761632032169,-0.1826949660232628,,,-4606.569778040208,-0.20627877185437876,-145.6947671999999,-0.15740596260093423,10.0,0.7692307692307693,-9.0,-0.10975609756097561
S1_service,2,combined_disruption,peripheral_area + central_area,mild,area_closure,peripheral_area,demand_surge,central_area,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,18.112286800237847,18.12839140579898,0.016104605561131483,1.3938107847537822,1.3044613193817545,25.538880339266107,13.078500963407327,23.590571774618038,23.604570139185704,32857.51137036717,,21143.14752495895,885.7218528000002,17,79,0,19.66702148559584,23.590571774618038,27.514122063640237,t0_immediate,17,0.11885410717265898,0.006605415942588114,0.13495871273379123,0.007500442802434545,-0.2923019395668336,-0.1733584803380276,-0.1845661293625731,-0.12395079050974829,-6.7002707283200635,-0.2078302469650523,13.078500963407327,,5.59713908155285,0.3110656636245974,5.611137446120516,0.31184363438795604,-1668.6814927081796,-0.04833088604138514,,,-1188.6209678852283,-0.05322556376428947,-39.87692879999986,-0.043082304766076045,4.0,0.3076923076923077,-3.0,-0.036585365853658534
S1_service,3,combined_disruption,central + any_road,moderate,node_removal,central,link_failure,any_road,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,17.15635332052788,17.353994871254578,0.1976415507266975,1.1671351300652764,1.0583460094228037,23.500016858700423,27.967400295134862,29.138607488409104,29.280973835494557,31097.899076889087,,19360.34594611136,867.20124,21,80,0,20.748387399868644,29.138607488409104,37.52882757694957,t0_immediate,21,-0.8370793725373069,-0.04652138292989108,-0.6394378218106098,-0.03553728922758881,-0.5189775942553394,-0.30779531330827875,-0.4306814393215239,-0.28923673615601275,-8.739134208885748,-0.2710720946269653,27.967400295134862,,11.145174795343916,0.6194023667112365,11.287541142429369,0.6273144949590234,-3428.2937861862592,-0.09929544794533976,,,-2971.422546732818,-0.1330580937951671,-58.39754160000007,-0.06309163620446155,8.0,0.6153846153846154,-2.0,-0.024390243902439025
S1_service,4,demand_surge,peripheral_area,mild,,,,,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,18.132145214444503,18.132145214444503,0.0,1.7010995063842724,1.4973151227328627,31.412851675565822,0.0,18.132145214444503,18.132145214444503,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,18.132145214444503,18.132145214444503,18.132145214444503,t0_immediate,13,0.13871252137931478,0.007709063842652753,0.13871252137931478,0.007709063842652753,0.014986782063656667,0.008888363065817726,0.008287673988535138,0.005565830230681105,-0.8262993920203492,-0.025630308635860008,0.0,,0.13871252137931478,0.007709063842652753,0.13871252137931478,0.007709063842652753,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_service,5,area_closure,central_area,moderate,,,,,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,15.620980781654351,16.152496833283788,0.5315160516294352,1.0054370752472597,0.890012289037155,18.728161202158013,41.42262633771367,34.00393608481181,34.31528422844982,29802.22123689775,,19052.69959812218,808.8923088000001,17,76,0,21.577148183497705,34.00393608481181,46.43072398612591,t0_immediate,17,-2.3724519114108364,-0.13185098985171398,-1.8409358597813998,-0.10231154283812177,-0.6806756490733561,-0.40369522111733086,-0.5990151597071726,-0.4022861769353629,-13.510989865428158,-0.4190864032710946,41.42262633771367,,16.010503391746624,0.8897970534503513,16.32185153538463,0.9071004857052763,-4723.9716261775975,-0.13682283606860499,,,-3279.068894721997,-0.14683426866854352,-116.70647279999991,-0.12608753935291472,4.0,0.3076923076923077,-6.0,-0.07317073170731707
S1_service,6,area_closure,peripheral_area,moderate,,,,,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,17.31958180416306,17.3876868267146,0.06810502255153951,1.2758139394295693,1.2404746498803907,33.91305501890686,9.369585039230557,21.318559882121235,21.38028374666882,29704.653490166995,,18110.022966708744,845.3686176,20,77,0,18.50768437035207,21.318559882121235,24.129435393890404,t0_immediate,20,-0.6738508889021269,-0.037449824077305405,-0.6057458663505884,-0.033664830757059915,-0.41029878489104643,-0.24334006794021903,-0.24855279886393689,-0.16692291271966636,1.673903951320689,0.05192146492354951,9.369585039230557,,3.3251271890560474,0.1847967114322537,3.386851053603632,0.18822706658462957,-4821.539372908352,-0.1396487412333502,,,-4221.7455261354335,-0.18904662778893744,-80.23016400000006,-0.08667920225793008,7.0,0.5384615384615384,-5.0,-0.06097560975609756
S1_service,7,combined_disruption,any_road + central_area,mild,link_failure,any_road,area_closure,central_area,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,14.406762301914595,15.454237667251212,1.0474753653366171,0.6876753177604366,0.6375714633924021,18.535058164492625,55.528959843140015,39.72421295447181,40.19003614482388,29826.502043064786,,18874.194967830987,818.1747815999998,24,78,0,23.06552500152981,39.72421295447181,56.38290090741381,t0_immediate,24,-3.5866703911505926,-0.19933219260230006,-2.539195025813976,-0.14111787723487593,-0.9984374065601792,-0.5921534142757146,-0.8514559853519255,-0.5718202079282987,-13.704092903093546,-0.42507610930462403,55.528959843140015,,21.730780261406622,1.2077062021512903,22.19660345175869,1.2335947137153789,-4699.690820010561,-0.13611957850808187,,,-3457.573525013191,-0.15482757337920236,-107.4240000000002,-0.11605892546045266,11.0,0.8461538461538461,-4.0,-0.04878048780487805
S1_service,8,combined_disruption,peripheral_area + central_area,moderate,demand_surge,peripheral_area,area_closure,central_area,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,16.7687539265793,18.098614135998986,1.329860209419684,0.9928604632708439,0.9479912879659046,35.1939705448444,29.557639555615623,29.546889816362224,30.483674738488084,30374.175024166645,,19589.69098820831,816.8012351999998,23,76,0,20.679597949677536,29.546889816362224,38.41418168304691,t0_immediate,23,-1.2246787664858871,-0.0680625418938482,0.10518144293379805,0.00584554624612211,-0.6932522610497719,-0.41115416012835293,-0.541036160778423,-0.36334868187599223,2.9548194772582264,0.09165314158129478,29.557639555615623,,11.553457123297036,0.642092996949372,12.490242045422896,0.6941555987944832,-4152.017838908701,-0.12025704239603988,,,-2742.0775046358685,-0.12278819321965115,-108.79754640000021,-0.1175428798771014,10.0,0.7692307692307693,-6.0,-0.07317073170731707
S1_service,9,combined_disruption,central + central_area,mild,node_removal,central,demand_surge,central_area,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,15.033947362848604,15.303280368353569,0.2693330055049654,1.2827080021359112,1.1056063346052043,30.296599874482382,24.606541331300967,26.09853769006381,26.30159715825036,33436.961261474324,,21582.339780842904,898.3938576,15,80,0,18.71657529067352,26.09853769006381,33.480500089454104,t0_immediate,15,-2.9594853302165838,-0.1644758607598645,-2.690152324711619,-0.1495074547809004,-0.4034047221847046,-0.23925133614494734,-0.3834211141391233,-0.25749768042386056,-1.9425511931037889,-0.06025441516842127,24.606541331300967,,8.105104996998623,0.45044795705504237,8.308164465185172,0.46173315603015563,-1089.2316016010227,-0.03154797883220773,,,-749.4287120012741,-0.03355886087756173,-27.204924000000005,-0.02939170247498952,2.0,0.15384615384615385,-2.0,-0.024390243902439025
S1_service,10,demand_surge,peripheral_area,severe,,,,,17.993432693065188,17.993432693065188,0.0,1.6861127243206158,1.4890274487443276,32.23915106758617,0.0,17.993432693065188,17.993432693065188,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,17.993432693065188,17.993432693065188,17.993432693065188,18.3614770206727,18.3614770206727,0.0,1.7258769797228746,1.511017038221976,30.04674045378864,0.0,18.3614770206727,18.3614770206727,34526.19286307535,,22331.768492844178,925.5987816,13,82,0,18.3614770206727,18.3614770206727,18.3614770206727,t0_immediate,13,0.3680443276075138,0.020454369874035264,0.3680443276075138,0.020454369874035264,0.03976425540225881,0.023583390854416922,0.021989589477648508,0.014767752935778295,-2.1924106137975308,-0.06800460127505716,0.0,,0.3680443276075138,0.020454369874035264,0.3680443276075138,0.020454369874035264,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
